idx,speaker,target_emotion,frozen_ser_pred,frozen_correct,online_ser_pred,online_correct,moved_energy_toward_tgt,moved_energy_dyn_toward_tgt,src_e_mean,gen_e_mean,tgt_e_mean,src_e_dyn,gen_e_dyn,tgt_e_dyn,src_f0_mean,gen_f0_mean,tgt_f0_mean,mel_l1_vs_tgt,mel_l1_vs_src
18,M_10_EVAN,sad,sad,1,sad,1,0,0,-47.801,-49.987,-48.221,2.999,2.925,3.942,102.3,115.5,113.2,6.149,3.908
19,F_05_MOUNI,angry,angry,1,angry,1,1,0,-53.423,-47.467,-44.58,3.522,3.276,3.456,227.3,233.5,389.8,11.717,8.343
20,M_07_SIBLY,angry,angry,1,angry,1,0,1,-47.533,-48.722,-41.053,3.593,3.26,1.894,139.9,162.2,196.4,10.287,6.437
21,M_09_SHUMANTA,happy,happy,1,happy,1,1,0,-51.741,-51.936,-52.065,3.132,3.117,3.232,122.3,155.3,155.5,7.619,4.873
22,F_01_OISHI,angry,angry,1,angry,1,1,1,-54.104,-50.408,-48.985,4.286,4.244,2.875,228.9,245.1,263.0,11.054,7.052
23,M_08_PRASUN,happy,happy,1,happy,1,0,1,-46.118,-46.568,-45.243,3.087,2.561,2.742,140.3,190.8,189.6,8.228,5.414
24,F_03_SMITA,angry,angry,1,angry,1,1,0,-51.045,-50.824,-47.655,3.578,3.904,3.531,258.1,269.4,285.0,9.208,4.987
25,M_02_NIPUN,sad,sad,1,sad,1,0,0,-56.313,-57.456,-52.777,3.089,2.762,3.213,158.0,167.1,217.3,10.778,4.268
26,M_07_SIBLY,sad,sad,1,sad,1,0,1,-51.675,-51.255,-52.213,3.757,3.612,3.617,131.2,169.7,161.2,8.651,4.85
27,F_04_SWARNALI,angry,angry,1,angry,1,0,0,-47.373,-47.718,-46.977,3.334,3.461,2.74,181.6,203.5,334.1,9.243,5.423
28,F_04_SWARNALI,sad,sad,1,sad,1,1,1,-54.526,-51.971,-50.796,2.94,3.324,4.163,192.3,208.0,303.3,10.133,5.622
29,F_04_SWARNALI,happy,happy,1,happy,1,0,0,-50.254,-50.142,-51.394,3.942,3.84,4.068,179.0,222.0,259.9,8.366,5.014
30,F_08_JOYEETA,sad,sad,1,sad,1,1,0,-52.042,-53.304,-52.745,2.863,2.438,2.79,226.7,220.6,229.6,7.584,4.067
31,F_08_JOYEETA,sad,sad,1,sad,1,1,1,-57.192,-55.627,-56.369,3.397,3.268,3.162,209.7,215.9,245.1,7.891,3.934
32,F_07_TITHI,happy,happy,1,happy,1,1,0,-50.702,-47.477,-46.648,4.249,3.717,4.791,240.9,246.9,350.0,9.694,6.1
33,F_07_TITHI,happy,happy,1,happy,1,0,0,-48.952,-46.721,-49.151,3.369,3.164,4.427,231.6,240.9,341.4,9.527,5.856
34,F_07_TITHI,angry,angry,1,angry,1,1,0,-51.901,-46.829,-45.399,3.696,3.483,4.379,218.0,227.3,347.9,8.88,7.334
35,M_02_NIPUN,happy,happy,1,happy,1,1,1,-53.545,-48.889,-47.812,3.218,2.694,1.825,156.7,168.4,211.4,10.41,6.637
36,F_07_TITHI,happy,happy,1,happy,1,0,0,-47.741,-46.305,-49.911,3.452,2.955,3.458,226.2,224.9,283.3,9.527,5.25
37,M_04_BIBHAS,sad,sad,1,sad,1,1,1,-47.057,-49.406,-51.031,3.088,2.955,2.518,205.4,214.0,147.7,7.983,4.319
38,F_08_JOYEETA,sad,sad,1,sad,1,0,1,-55.288,-57.107,-54.496,2.888,2.489,2.059,229.4,239.0,229.0,7.892,4.051
39,F_06_SIMI,happy,happy,1,happy,1,1,0,-51.897,-49.621,-47.943,3.202,2.795,3.119,222.4,229.3,299.1,9.937,5.598
40,M_07_SIBLY,angry,angry,1,angry,1,1,1,-49.658,-49.837,-50.821,3.577,3.093,2.614,146.0,179.8,163.3,9.647,6.922
41,M_06_SHUKANTO,happy,happy,1,happy,1,1,1,-56.049,-53.457,-53.877,2.779,2.859,3.562,109.8,151.6,142.5,8.858,5.689
42,F_06_SIMI,angry,angry,1,angry,1,1,1,-50.491,-47.415,-45.493,3.206,3.051,2.793,237.8,239.6,309.4,8.969,5.809
43,F_05_MOUNI,happy,happy,1,happy,1,1,0,-52.963,-51.453,-51.263,4.109,3.653,4.203,218.8,238.5,283.2,9.491,5.756
44,F_03_SMITA,sad,sad,1,sad,1,1,1,-53.239,-53.121,-52.896,3.389,3.197,3.198,250.0,253.4,251.8,6.61,3.913
45,M_03_ILIAS,sad,sad,1,sad,1,0,0,-48.151,-48.191,-46.545,3.079,2.809,2.973,163.4,197.9,199.3,9.053,4.473
46,F_03_SMITA,sad,sad,1,sad,1,1,0,-50.667,-51.99,-51.749,3.6,3.427,3.758,227.3,235.4,273.1,7.618,3.982
47,M_04_BIBHAS,angry,angry,1,angry,1,1,1,-47.762,-47.031,-46.611,3.614,3.213,2.472,128.4,223.4,202.2,14.21,5.336
48,M_02_NIPUN,angry,angry,1,angry,1,1,1,-50.226,-49.592,-47.742,3.498,3.146,1.784,155.6,165.1,209.1,10.613,6.231
49,F_07_TITHI,sad,sad,1,sad,1,1,0,-46.999,-49.342,-48.748,3.241,3.057,3.186,226.6,234.1,253.3,8.292,4.501
50,M_06_SHUKANTO,angry,angry,1,angry,1,0,1,-49.822,-48.323,-51.938,3.741,3.667,2.882,136.6,177.4,151.4,11.359,6.152
51,F_10_FAHMEE,happy,happy,1,happy,1,1,0,-54.631,-52.932,-53.576,3.093,2.918,3.369,234.6,246.9,309.7,8.881,4.8
52,F_04_SWARNALI,happy,happy,1,happy,1,0,1,-49.096,-49.827,-48.894,3.655,3.829,4.079,220.7,220.1,302.3,8.897,4.395
53,M_07_SIBLY,happy,happy,1,happy,1,0,1,-48.735,-48.952,-48.433,3.501,3.186,3.181,139.4,169.3,220.9,8.961,5.022
54,M_10_EVAN,sad,sad,1,sad,1,0,0,-50.0,-50.628,-48.572,3.241,3.205,3.411,113.7,130.3,101.9,6.027,3.816
55,F_06_SIMI,happy,happy,1,happy,1,1,0,-50.576,-48.641,-44.59,2.892,2.594,2.903,227.8,248.8,281.7,10.956,5.798
56,M_08_PRASUN,sad,sad,1,sad,1,1,1,-51.611,-52.18,-52.196,3.649,3.261,3.324,139.5,148.5,181.8,8.282,3.647
57,F_03_SMITA,happy,happy,1,happy,1,0,0,-57.194,-57.927,-54.944,3.463,3.81,3.56,230.3,226.6,284.0,9.961,4.572
58,F_08_JOYEETA,happy,happy,1,happy,1,1,1,-53.962,-52.694,-53.139,2.883,2.807,2.799,226.9,228.6,211.0,8.355,4.416
59,M_02_NIPUN,angry,angry,1,angry,1,1,0,-50.567,-50.164,-42.596,3.107,3.175,2.636,152.3,177.2,315.5,13.008,6.197
